# srcdslab GitHub org - full repository list (293 repos) enumerated 2026-08-19 from https://github.com/orgs/srcdslab/repositories?page=N&type=all
# Columns: name | last updated | description
# grep for match|pug|mix|war|ready|knife|scrim|competitive|deathmatch|gungame|respawn|restrict|retake: NO match/PUG/mix repo exists (hits are KnifeMode, KnockbackRestrict, TeamManager(warmup), WeaponCleaner, BotManager, etc.)

sm-plugin-Shop_GrenadeTrails | 2026-08-18T12:26:16.547Z | 
sm-plugin-Shop_MathCredits | 2026-08-18T12:25:59.349Z | 
sm-plugin-Shop_Nades | 2026-08-18T12:26:04.236Z | 
sm-plugin-Shop_OnlineCredits | 2026-08-18T12:26:36.202Z | 
sm-plugin-Shop_Paintball | 2026-08-18T12:27:34.784Z | 
sm-plugin-Shop_Top10 | 2026-08-18T12:28:11.560Z | 
sm-plugin-Shop_Tracers | 2026-08-18T12:27:15.196Z | 
sm-plugin-Shop_Trails | 2026-08-18T12:26:47.544Z | 
sm-plugin-Shop_WeaponColors | 2026-08-18T12:28:11.826Z | 
sm-plugin-Shop_ZRSkins | 2026-08-18T12:40:53.571Z | 
sm-plugin-ShowDamage | 2026-08-18T12:34:51.028Z | Show weapon damage like in fortnite
sm-plugin-SlowFire | 2022-08-21T13:23:25.153Z | Slow players when they are hit by napalm nades
sm-plugin-SourceChatRelay | 2023-05-14T14:44:33.566Z | 
sm-plugin-SpeakerIcon | 2022-08-21T13:21:15.976Z | Add a speaker icon above players using voice chat
sm-plugin-Spectate | 2026-08-18T12:43:32.781Z | Spectate players
sm-plugin-SprayManager | 2026-08-18T12:25:43.996Z | Manage player sprays
sm-plugin-Status | 2026-08-18T12:43:14.696Z | Advanced status command
sm-plugin-StopSound | 2026-08-18T12:25:25.356Z | Stop player and map sounds
sm-plugin-SuppressViewpunch | 2026-08-18T12:36:24.408Z | A plugin that suppresses viewpunch when a player slams into the ground (CS:S only)
sm-plugin-TeamManager | 2026-08-18T12:45:00.615Z | Warmup round and manage player teams
sm-plugin-Teleport | 2026-08-18T12:25:40.431Z | Teleport players
sm-plugin-TeleportCrashPrevention | 2022-08-21T13:19:05.336Z | 
sm-plugin-TeleportTriggerStopper | 2022-08-21T13:23:54.078Z | Prevent noclip players from teleports and triggers activation
sm-plugin-ThirdPerson | 2026-08-18T12:27:54.462Z | Allow players to toggle thirdperson
sm-plugin-ToggleEffects | 2026-03-02T22:54:16.506Z | Global Special Effects Options
sm-plugin-TogsJumpStats | 2026-08-18T12:25:50.308Z | Player bhop analysis
sm-plugin-TopDefenders | 2026-08-18T12:47:19.305Z | Reward and display top defenders
sm-plugin-TopInfectors | 2026-08-18T12:26:35.394Z | Reward and display top infectors
sm-plugin-TriggerWatcher | 2026-08-18T12:27:35.503Z | Button and trigger notification system
sm-plugin-UtilsHelper | 2026-08-18T12:37:57.555Z | A general utility helper include
sm-plugin-VIP-Core | 2026-08-18T12:27:37.299Z | Core plugin to manage VIP players
sm-plugin-VIP_CustomFeatures | 2026-08-18T12:28:33.906Z | 
sm-plugin-VIP_FreeVIPGiveaway | 2026-08-18T14:02:04.282Z | 
sm-plugin-VIP_JumpEffects | 2026-08-18T12:26:20.859Z | 
sm-plugin-VIP_Neon | 2026-08-18T12:26:04.485Z | 
sm-plugin-VIP_SourcemodFlags | 2026-08-18T12:01:46.389Z | Give sourcemod flags to VIP players
sm-plugin-VIP_Tag | 2026-08-18T12:19:00.666Z | 
